Isthmus/Calcite: declared against derived, 2026-09-07, substrait-java fff63906.
Command: SUBSTRAIT_JAVA_DIR=<checkout> bash probe/observe_all.sh, which runs probe/ObserveOf.java
The observer is attached through ConverterProvider.builder().typeObserver(...).

aggregate_grouping_field_shared_by_sets observations 3, divergences 0, derivation failed 0
aggregate_grouping_sets_declared_order observations 2, divergences 0, derivation failed 0
control_join_without_relcommon observations 0, divergences 0, derivation failed 0
control_passthrough_rn observations 0, divergences 0, derivation failed 0
ctas_keeps_declared_schema observations 8, divergences 0, derivation failed 0
decimal_add_overflow   observations 3, divergences 1, derivation failed 0
      declared DECIMAL(38, 9), Calcite derived DECIMAL(38, 10)
decimal_add            observations 3, divergences 0, derivation failed 0
decimal_divide         observations 3, divergences 1, derivation failed 0
      declared DECIMAL(21, 8), Calcite derived DECIMAL(17, 8)
decimal_multiply_overflow observations 3, divergences 1, derivation failed 0
      declared DECIMAL(38, 6), Calcite derived DECIMAL(38, 20)
decimal_multiply       observations 3, divergences 1, derivation failed 0
      declared DECIMAL(16, 3), Calcite derived DECIMAL(15, 3)
emit_aggregate         observations 3, divergences 0, derivation failed 0
emit_fetch             observations 0, divergences 0, derivation failed 0
emit_filter            observations 1, divergences 0, derivation failed 0
emit_join              observations 0, divergences 0, derivation failed 0
emit_project           observations 1, divergences 0, derivation failed 0
emit_read              observations 0, divergences 0, derivation failed 0
emit_sort              observations 1, divergences 0, derivation failed 0
join_inner             observations 0, divergences 0, derivation failed 0
join_left_anti         observations 0, divergences 0, derivation failed 0
join_left_semi         observations 0, divergences 0, derivation failed 0
join_left              observations 0, divergences 0, derivation failed 0
join_outer             observations 0, divergences 0, derivation failed 0
join_right             observations 0, divergences 0, derivation failed 0
joineq_inner           observations 3, divergences 0, derivation failed 0
joineq_left_anti       observations 3, divergences 0, derivation failed 0
joineq_left_semi       observations 3, divergences 0, derivation failed 0
joineq_left            observations 3, divergences 0, derivation failed 0
joineq_outer           observations 3, divergences 0, derivation failed 0
joineq_right           observations 3, divergences 0, derivation failed 0
narrowing_count        observations 1, divergences 0, derivation failed 0
narrowing_is_not_null  observations 2, divergences 0, derivation failed 0
narrowing_is_null      observations 2, divergences 0, derivation failed 0
phase_final            observations 1, divergences 0, derivation failed 0
phase_intermediate     observations 1, divergences 0, derivation failed 0
precision_timestamp_p00 observations 0, divergences 0, derivation failed 0
precision_timestamp_p01 observations 0, divergences 0, derivation failed 0
precision_timestamp_p02 observations 0, divergences 0, derivation failed 0
precision_timestamp_p03 observations 0, divergences 0, derivation failed 0
precision_timestamp_p04 observations 0, divergences 0, derivation failed 0
precision_timestamp_p06 observations 0, divergences 0, derivation failed 0
read_projection_mask   observations 0, divergences 0, derivation failed 0
setdata_intersection_multiset_all observations 0, divergences 0, derivation failed 0
setdata_intersection_multiset observations 0, divergences 0, derivation failed 0
setdata_minus_primary_all observations 0, divergences 0, derivation failed 0
setdata_minus_primary  observations 0, divergences 0, derivation failed 0
setdata_union_all      observations 0, divergences 0, derivation failed 0
setdata_union_distinct observations 0, divergences 0, derivation failed 0
setop_intersection_multiset_all observations 0, divergences 0, derivation failed 0
setop_intersection_multiset observations 0, divergences 0, derivation failed 0
setop_minus_primary_all observations 0, divergences 0, derivation failed 0
setop_minus_primary    observations 0, divergences 0, derivation failed 0
setop_union_all        observations 0, divergences 0, derivation failed 0
setop_union_distinct   observations 0, divergences 0, derivation failed 0
stringlen_declared     observations 0, divergences 0, derivation failed 0
virtual_table_emit_mapping observations 0, divergences 0, derivation failed 0
