ISTHMUS: column from run 2026-09-08T17:12, substrait-java fff63906

aggregate_grouping_field_shared_by_sets        [c:VARCHAR, a:BIGINT?]
aggregate_grouping_sets_declared_order         [c:VARCHAR?, a:BIGINT?]
control_join_without_relcommon                 [c0:BIGINT, c1:BIGINT?, c00:BIGINT?, c10:BIGINT]
control_passthrough_rn                         [c0:BIGINT, c1:BIGINT?]
ctas_keeps_declared_schema                     [total:BIGINT, doubled:INTEGER?]
decimal_add_overflow                           [$f4:DECIMAL(38,9)]
decimal_add                                    [$f4:DECIMAL(11,2)]
decimal_divide                                 [$f4:DECIMAL(21,8)]
decimal_multiply_overflow                      [$f4:DECIMAL(38,6)]
decimal_multiply                               [$f4:DECIMAL(16,3)]
emit_aggregate                                 [c2:BOOLEAN, c0:BIGINT]
emit_fetch                                     [c2:BOOLEAN, c0:BIGINT]
emit_filter                                    [c2:BOOLEAN, c0:BIGINT]
emit_join                                      [c2:BOOLEAN, c0:BIGINT]
emit_project                                   [c2:BOOLEAN, c0:BIGINT]
emit_read                                      [c2:BOOLEAN, c0:BIGINT]
emit_sort                                      [c2:BOOLEAN, c0:BIGINT]
expand_consistent_fields                       ERROR: UnsupportedOperationException: null
expand_switching_nullability                   ERROR: UnsupportedOperationException: null
join_inner                                     [c0:BIGINT, c1:BIGINT?, c00:BIGINT?, c10:BIGINT]
join_left_anti                                 [c0:BIGINT, c1:BIGINT?]
join_left_mark                                 ERROR: UnsupportedOperationException: Unsupported join type: LEFT_MARK
join_left_semi                                 [c0:BIGINT, c1:BIGINT?]
join_left_single                               ERROR: UnsupportedOperationException: Unsupported join type: LEFT_SINGLE
join_left                                      [c0:BIGINT, c1:BIGINT?, c00:BIGINT?, c10:BIGINT?]
join_outer                                     [c0:BIGINT?, c1:BIGINT?, c00:BIGINT?, c10:BIGINT?]
join_right_anti                                ERROR: UnsupportedOperationException: Unsupported join type: RIGHT_ANTI
join_right_mark                                ERROR: UnsupportedOperationException: Unsupported join type: RIGHT_MARK
join_right_semi                                ERROR: UnsupportedOperationException: Unsupported join type: RIGHT_SEMI
